QID + Label,Alias,Count
Q56202338 – Ancient Egyptians,Egyptians,4
Q56202338 – Ancient Egyptians,Total,4
Q1651392 – Romans,Romans,1
Q1651392 – Romans,Total,1
Q9047 – Gottfried Wilhelm Leibniz,Leibnitz,0
Q9047 – Gottfried Wilhelm Leibniz,Mr. Leibnitz,0
Q9047 – Gottfried Wilhelm Leibniz,Total,0
Q3112766 – Isaac Vossius,Ifaaco Voffio,0
Q3112766 – Isaac Vossius,Isaaco Vossio,0
Q3112766 – Isaac Vossius,Total,0
"Q461340 – Paris Observatory, PSL University",Royal Observatory of Paris,3
"Q461340 – Paris Observatory, PSL University",Royal Observatory at Paris,1
"Q461340 – Paris Observatory, PSL University",Total,4
Q192988 – Royal Observatory,Royal Observatory at Greenwich,1
Q192988 – Royal Observatory,Royal Observatory of Greenwich,1
Q192988 – Royal Observatory,Total,2
Q25688688 – ancient Greeks,Greeks,2
Q25688688 – ancient Greeks,Total,2
Q178710 – Vesta,Vesta,1
Q178710 – Vesta,Total,1
Q2983591 – collège Henri-IV de La Flèche,University of La Fleche,1
Q2983591 – collège Henri-IV de La Flèche,Total,1
Q332342 – Trinity College,Trinity College,1
Q332342 – Trinity College,Total,1
Q3746490 – Flavius Lampadius,Lampadius,1
Q3746490 – Flavius Lampadius,Total,1
Q41866 – Justinian I,Justin,1
Q41866 – Justinian I,Total,1
Q3435583 – Robert Kirk,Mr. Kirk,1
Q3435583 – Robert Kirk,Total,1
Q43393 – Robert Boyle,Mr. Boyle,1
Q43393 – Robert Boyle,Total,1
Q3242107 – Chaldeans,Chaldeans,1
Q3242107 – Chaldeans,Total,1
Q721703 – Rufius Gennadius Probus Orestes,Orestes,1
Q721703 – Rufius Gennadius Probus Orestes,Total,1
Q76365 – Regiomontanus,Regiomontanus,1
Q76365 – Regiomontanus,Total,1
Q1048 – Julius Caesar,Julius Cæsar,1
Q1048 – Julius Caesar,Total,1
Q138341287 – Ponthæus,Ponthæus,9
Q138341287 – Ponthæus,O. S. Ponthæus,1
Q138341287 – Ponthæus,Total,10
Q111281478 – Johann Alexander Cellius,Cellius,7
Q111281478 – Johann Alexander Cellius,Total,7
Q46822655 – Franciscus Galletius,Galletius,6
Q46822655 – Franciscus Galletius,Total,6
Q34604409 – Pierre Ango,P. Ango,2
Q34604409 – Pierre Ango,Total,2
Q4800376 – Arthur Storer,Mr. Arthur Storer,1
Q4800376 – Arthur Storer,Total,1
Q311823 – Geminiano Montanari,"Montenari, professor of astronomy at Padua",1
Q311823 – Geminiano Montanari,Total,1
Q72992 – Johann Jacob Zimmermann,Mr. Zimmerman,1
Q72992 – Johann Jacob Zimmermann,Total,1
Q138341375 – Valentinus Estancius,N. P. Valentinus Estancius,1
Q138341375 – Valentinus Estancius,P. Valent. Estancius,1
Q138341375 – Valentinus Estancius,Total,2
Q940417 – Symeon of Durham,"Simeon, the monk of Durham",2
Q940417 – Symeon of Durham,Total,2
Q369366 – Matthew Paris,Matthew Paris,2
Q369366 – Matthew Paris,Matth. Paris,1
Q369366 – Matthew Paris,Total,3
Q868 – Aristotle,Aristotle,6
Q868 – Aristotle,Total,6
Q376856 – Adrien Auzout,M. Auzout,7
Q376856 – Adrien Auzout,Total,7
Q3386576 – Pierre Petit,M. Petit,2
Q3386576 – Pierre Petit,Total,2
Q1242534 – Gilles-François de Gottignies,M. Gottignies,3
Q1242534 – Gilles-François de Gottignies,Total,3
Q312278 – James Bradley,"Mr. Bradley, Savilian Professor of Astronomy at Oxford",1
Q312278 – James Bradley,Total,1
Q159905 – Hipparchus,Hipparchus,1
Q159905 – Hipparchus,Total,1
Q660644 – Cornelius Gemma,Cornelius Gemma,1
Q660644 – Cornelius Gemma,Total,1
Q190 – God,God,28
Q190 – God,"Lord God παντοκράτωρ, or Universal Ruler",1
