*DOAJ Keywords	Wikidata label(en)	WikidataQID
arts	arts	Q102357321
hermeneutics	hermeneutics	Q102686
theory and methodology	hermeneutics	Q102686
digital humanities	digital humanities	Q1026962
text mining	digital humanities	Q1026962
child protection	child protection	Q1029430
civilization	history of civilization	Q10300571
digital media	digital media	Q10334763
rural settlement	rural settlement	Q10354598
colombian history	history of Colombia	Q1044401
community service	community services	Q104777741
european integration	European integration	Q1048268
sudan	Sudan	Q1049
ecological economics	ecological economics	Q1049066
invasion ecology	invasion ecology	Q105094378
south asian studies	South Asia studies	Q105397778
museography	museography	Q1054701
museum practice	museography	Q1054701
natural resources	natural resources	Q105575840
human resource management	human resource management	Q1056396
music history	music history	Q10590700
north germanic	North Germanic	Q106085
theatre history	history of theatre	Q1061140
criminal justice	criminal justice	Q106597211
historical	study of history	Q1066186
history	study of history	Q1066186
theory of ideas	theory of forms	Q1068658
geology	geology	Q1069
geagraphy	geography	Q1071
geographical	geography	Q1071
geography	geography	Q1071
film history	history of film	Q107478
microscopy	microscopy	Q1074953
english education	English pedagogy	Q107550344
indigenous cultures	indigenous studies	Q108352346
indigenous studies	indigenous studies	Q108352346
francophone studies	Francophone studies	Q108366776
archivistics	archivistics	Q10855175
spanish civil war	Spanish Civil War	Q10859
paleoethnology	paleoethnology	Q108941726
greek literature	Greek literature	Q1089547
early modern history	Early Modern History	Q109120185
historical sciences	historical sciences	Q109311746
flemish art	Flemish art	Q109529973
english literature	English literature	Q109587623
korean literature	Korean literature	Q109607471
hungarian literature	Hungarian literature	Q109648177
technologies	technology	Q11016
technology	technology	Q11016
maori archaeology	Māori archaeology	Q110252734
media	mass media	Q11033
christianity	Christian studies	Q110419499
hispanic civilization	hispanism	Q1109432
hispanic studies	hispanism	Q1109432
hispanism	hispanism	Q1109432
biodiversity	biodiversity science	Q111325032
institutional economics	institutional economics	Q1118654
medicine	medicine	Q11190
history of diseases	history of public health	Q112132551
solutrean	Solutrean	Q1121344
paraguay	history of Paraguay	Q1121772
development economics	development economics	Q1127188
investigation	investigative journalism	Q1127717
